,Title,Risk,URL,cleaned_title
0,Inflation 'collapse' will spark big stock market gains: Credit Suisse,1,https://www.cnbc.com/2022/09/12/inflation-collapse-will-spark-big-stock-market-gains-credit-suisse.html,collaps will spark big stock market gain
1,Here's what's in Biden framework to regulate crypto,0,https://www.cnbc.com/2022/09/16/heres-whats-in-biden-framework-to-regulate-crypto.html,framework regul crypto
2,Ether falls after the smart contracts network completes the 'merge',0,https://www.cnbc.com/2022/09/15/ether-falls-after-the-smart-contracts-network-completes-long-anticipated-merge.html,fall smart contract network complet merg
3,"FedEx CEO has really lost credibility here, says Michael Farr",0,https://www.cnbc.com/video/2022/09/16/fedex-ceo-has-really-lost-credibility-here-says-michael-farr.html?&recirc=taboolainternal,ha realli lost credibl say
4,Ethereum's massive software upgrade just went live — here's what it does,1,https://www.cnbc.com/2022/09/15/ethereums-massive-software-upgrade-just-went-live-heres-what-it-does.html,massiv softwar upgrad went live doe
5,The 'Merge' is here — last chance to buy ether before makeover,1,https://www.cnbc.com/2022/09/14/the-merge-is-here-last-chance-to-buy-ether-before-makeover.html,last chanc buy ether befor makeov
6,China's tourism revenue was below pre-Covid 2019 levels amid lockdowns,0,https://www.cnbc.com/2022/09/13/chinas-tourism-revenue-was-below-pre-covid-2019-levels-amid-lockdowns.html,s tourism revenu wa precovid level amid lockdown
7,JPMorgan picks stocks to benefit if the metaverse takes off in China,1,https://www.cnbc.com/2022/09/12/jpmorgan-picks-stocks-to-benefit-if-the-metaverse-takes-off-in-china.html,pick stock benefit metavers take
8,"Fed's Waller sees 'significant' rate hike this month, backs data-dependent approach",1,https://www.cnbc.com/2022/09/09/feds-waller-sees-significant-rate-hike-this-month-backs-data-dependent-approach.html,see signific rate hike thi month back datadepend approach
9,Commerzbank CEO says lenders are prepared for failing loans risk,0,https://www.cnbc.com/2022/09/08/commerzbank-ceo-says-lenders-are-prepared-for-failing-loans-risk.html,say lender prepar fail loan risk
10,Coinbase bankrolls suit against Treasury Department following Tornado Cash sanctions,0,https://www.cnbc.com/2022/09/08/coinbase-bankrolls-suit-against-treasury-department-following-tornado-cash-sanctions.html,bankrol suit follow sanction
11,Sunak or Truss: Britain's next prime minister to be announced,1,https://www.cnbc.com/2022/09/05/sunak-or-truss-britains-next-prime-minister-to-be-announced.html,next prime minist announc
12,China's electric car companies are safe from the U.S. Nvidia chip ban,1,https://www.cnbc.com/2022/09/02/chinas-electric-car-companies-are-safe-from-the-us-nvidia-chip-ban.html,s electr car compani safe chip ban
13,Turkey's skyrocketing inflation threatens more losses for Gulf banks,0,https://www.cnbc.com/2022/09/02/turkeys-skyrocketing-inflation-threatens-more-losses-for-gulf-banks.html,s skyrocket inflat threaten loss bank
14,Fed's Mester sees benchmark rate above 4% and no cuts at least through 2023,1,https://www.cnbc.com/2022/08/31/feds-mester-sees-benchmark-rate-above-4percent-and-no-cuts-at-least-through-2023.html,see benchmark rate abov cut least
15,"U.S. needs miracle to avoid recession, economist Stephen Roach warns",0,https://www.cnbc.com/2022/08/29/us-needs-miracle-to-avoid-recession-economist-stephen-roach-warns.html,need miracl avoid recess economist warn
16,"Bitcoin briefly drops below $20,000 to lowest level since mid-July as investors dump risk assets",0,https://www.cnbc.com/2022/08/29/bitcoin-drops-below-20000-to-lowest-level-since-mid-july-as-investors-dump-risk-assets.html,briefli drop lowest level sinc midjuli investor dump risk asset
17,"Warren Buffett gets permission to buy up to half of Occidental Petroleum, boosting the shares",1,https://www.cnbc.com/2022/08/19/warren-buffett-gets-permission-to-buy-up-to-half-of-occidental-petroleum-boosting-the-shares.html,permiss buy half boost share
18,Crypto firm FTX receives cease and desist from FDIC about insurance,1,https://www.cnbc.com/2022/08/19/crypto-firm-ftx-receives-cease-and-desist-from-fdic-about-insurance.html,firm receiv ceas desist insur
19,Chinese property developers' cash flows have plunged by more than 20%,0,https://www.cnbc.com/2022/08/18/chinese-property-developers-cash-flows-have-plunged-by-more-than-20percent.html,properti develop cash flow plung
20,Bed Bath & Beyond soars 70% as meme traders bet on Ryan Cohen,1,https://www.cnbc.com/2022/08/16/bed-bath-beyond-soars-70percent-as-meme-traders-bet-on-ryan-cohen.html,soar meme trader bet
21,Tesla hedging: New ETF gears up to attract hesitant investors,1,https://www.cnbc.com/2022/08/14/tesla-hedging-new-etf-gears-up-to-attract-hesitant-investors.html,hedg gear attract hesit investor
22,Huawei's second quarter revenue rises slightly from a year ago,1,https://www.cnbc.com/2022/08/12/huaweis-second-quarter-revenue-rises-slightly-from-a-year-ago.html,second quarter revenu rise slightli year ago
23,"Fed expected to stick with hawkish interest rate hikes, strategists say ",0,https://www.cnbc.com/2022/08/12/fed-expected-to-stick-with-hawkish-interest-rate-hikes-strategists-say-.html,expect stick hawkish interest rate hike strategist say
24,Zoom investor tells startup founders: ‘Forget the past three years',1,https://www.cnbc.com/2022/08/11/zoom-investor-tells-startup-founders-forget-the-past-three-years.html,investor tell startup founder ‘ past three year
25,Here's where China's real estate troubles could spill over ,0,https://www.cnbc.com/2022/08/12/heres-where-chinas-real-estate-troubles-could-spill-over-.html,s real estat troubl spill
26,Crypto demand pushes Schwab to launch new ETF despite bitcoin crash,1,https://www.cnbc.com/2022/08/10/crypto-demand-pushes-schwab-to-launch-new-etf-despite-bitcoin-crash.html,demand push launch new despit bitcoin crash
27,Alibaba gets Hong Kong's approval for a primary stock listing,1,https://www.cnbc.com/2022/08/09/alibaba-gets-hong-kongs-approval-for-a-primary-stock-listing.html,s approv primari stock list
28,"Wage inflation, used car prices could jump higher: Jim Bianco",0,https://www.cnbc.com/2022/08/08/wage-inflation-used-car-prices-could-jump-higher-jim-bianco.html,inflat use car price jump higher
29,Fed Governor Bowman sees 'similarly sized' rate hikes ahead after three-quarter point moves,0,https://www.cnbc.com/2022/08/06/fed-governor-bowman-sees-similarly-sized-rate-hikes-ahead-after-three-quarter-point-moves.html,see similarli size rate hike ahead threequart point move
30,Long-term unemployment tumbles to its pre-pandemic level,0,https://www.cnbc.com/2022/08/05/long-term-unemployment-tumbles-to-its-pre-pandemic-level.html,unemploy tumbl prepandem level
31, Santander's Tim Wennes: A 'shakeout' among mortgage lenders is coming,0,https://www.cnbc.com/2022/08/05/-santanders-tim-wennes-a-shakeout-among-mortgage-lenders-is-coming.html,shakeout among mortgag lender come
32,"Job cuts, smaller bonuses loom for Wall Street bankers",1,https://www.cnbc.com/2022/08/04/job-cuts-smaller-bonuses-loom-for-wall-street-bankers-consultant-says.html,cut smaller bonus loom banker
33,Ford asks dealers to invest in EVs as it chases Tesla-like profit,1,https://www.cnbc.com/2022/09/14/ford-outlines-ev-investment-structure-for-its-dealers-as-it-chases-tesla-like-profit.html,ask dealer invest chase profit
34,JPMorgan (JPM) earnings Q3 2021,1,https://www.cnbc.com/2021/10/13/jpmorgan-jpm-earnings-q3-2021.html,earn
35,Tesla has made $1 billion profit on its bitcoin investment: Analyst,1,https://www.cnbc.com/2021/02/22/tesla-has-made-1-billion-profit-on-its-bitcoin-investment-analyst.html,ha made billion profit bitcoin invest
36,Coinbase is buying $500 million in crypto and investing future profits into a crypto portfolio,1,https://www.cnbc.com/2021/08/20/coinbase-is-buying-500-million-in-crypto-and-investing-future-profits-into-a-crypto-portfolio.html,buy million crypto invest futur profit crypto portfolio
37,Nasdaq closes higher on Wednesday as stocks stabilize following massive sell-off,0,https://www.cnbc.com/2022/09/13/stock-market-futures-open-to-close-news.html,close higher stock stabil follow massiv selloff
38,Stocks like Nike and McDonald's are well placed in a tough economy,1,https://www.cnbc.com/2022/07/30/stocks-like-nike-and-mcdonalds-are-well-placed-in-a-tough-economy.html,well place tough economi
39,Nike (NKE) earnings Q4 2022 earnings ,1,https://www.cnbc.com/2022/06/27/nike-nke-earnings-q4-2022-earnings-.html,earn earn
40,Nike shares on pace to hit record high as outlook tops expectations,1,https://www.cnbc.com/2021/06/25/nike-shares-on-pace-to-hit-record-high-as-outlook-tops-expectations.html,share pace hit record high outlook top expect
41,US EB-5 Immigrant Investor Program: US Golden Visa undergoes positive changes; ensures easier immigration process - The Economic Times,1,https://economictimes.indiatimes.com/nri/migrate/us-golden-visa-undergoes-positive-changes-ensures-easier-immigration-process/articleshow/94245179.cms,undergo posit chang ensur easier immigr process
