,Title,Risk,URL
0,Inflation 'collapse' will spark big stock market gains: Credit Suisse,1,https://www.cnbc.com/2022/09/12/inflation-collapse-will-spark-big-stock-market-gains-credit-suisse.html
1,Here's what's in Biden framework to regulate crypto,0,https://www.cnbc.com/2022/09/16/heres-whats-in-biden-framework-to-regulate-crypto.html
2,Ether falls after the smart contracts network completes the 'merge',0,https://www.cnbc.com/2022/09/15/ether-falls-after-the-smart-contracts-network-completes-long-anticipated-merge.html
3,"FedEx CEO has really lost credibility here, says Michael Farr",0,https://www.cnbc.com/video/2022/09/16/fedex-ceo-has-really-lost-credibility-here-says-michael-farr.html?&recirc=taboolainternal
4,Ethereum's massive software upgrade just went live — here's what it does,1,https://www.cnbc.com/2022/09/15/ethereums-massive-software-upgrade-just-went-live-heres-what-it-does.html
5,The 'Merge' is here — last chance to buy ether before makeover,1,https://www.cnbc.com/2022/09/14/the-merge-is-here-last-chance-to-buy-ether-before-makeover.html
6,China's tourism revenue was below pre-Covid 2019 levels amid lockdowns,0,https://www.cnbc.com/2022/09/13/chinas-tourism-revenue-was-below-pre-covid-2019-levels-amid-lockdowns.html
7,JPMorgan picks stocks to benefit if the metaverse takes off in China,1,https://www.cnbc.com/2022/09/12/jpmorgan-picks-stocks-to-benefit-if-the-metaverse-takes-off-in-china.html
8,"Fed's Waller sees 'significant' rate hike this month, backs data-dependent approach",1,https://www.cnbc.com/2022/09/09/feds-waller-sees-significant-rate-hike-this-month-backs-data-dependent-approach.html
9,Commerzbank CEO says lenders are prepared for failing loans risk,0,https://www.cnbc.com/2022/09/08/commerzbank-ceo-says-lenders-are-prepared-for-failing-loans-risk.html
10,Coinbase bankrolls suit against Treasury Department following Tornado Cash sanctions,0,https://www.cnbc.com/2022/09/08/coinbase-bankrolls-suit-against-treasury-department-following-tornado-cash-sanctions.html
11,Sunak or Truss: Britain's next prime minister to be announced,1,https://www.cnbc.com/2022/09/05/sunak-or-truss-britains-next-prime-minister-to-be-announced.html
12,China's electric car companies are safe from the U.S. Nvidia chip ban,1,https://www.cnbc.com/2022/09/02/chinas-electric-car-companies-are-safe-from-the-us-nvidia-chip-ban.html
13,Turkey's skyrocketing inflation threatens more losses for Gulf banks,0,https://www.cnbc.com/2022/09/02/turkeys-skyrocketing-inflation-threatens-more-losses-for-gulf-banks.html
14,Fed's Mester sees benchmark rate above 4% and no cuts at least through 2023,1,https://www.cnbc.com/2022/08/31/feds-mester-sees-benchmark-rate-above-4percent-and-no-cuts-at-least-through-2023.html
15,"U.S. needs miracle to avoid recession, economist Stephen Roach warns",0,https://www.cnbc.com/2022/08/29/us-needs-miracle-to-avoid-recession-economist-stephen-roach-warns.html
16,"Bitcoin briefly drops below $20,000 to lowest level since mid-July as investors dump risk assets",0,https://www.cnbc.com/2022/08/29/bitcoin-drops-below-20000-to-lowest-level-since-mid-july-as-investors-dump-risk-assets.html
17,"Warren Buffett gets permission to buy up to half of Occidental Petroleum, boosting the shares",1,https://www.cnbc.com/2022/08/19/warren-buffett-gets-permission-to-buy-up-to-half-of-occidental-petroleum-boosting-the-shares.html
18,Crypto firm FTX receives cease and desist from FDIC about insurance,1,https://www.cnbc.com/2022/08/19/crypto-firm-ftx-receives-cease-and-desist-from-fdic-about-insurance.html
19,Chinese property developers' cash flows have plunged by more than 20%,0,https://www.cnbc.com/2022/08/18/chinese-property-developers-cash-flows-have-plunged-by-more-than-20percent.html
20,Bed Bath & Beyond soars 70% as meme traders bet on Ryan Cohen,1,https://www.cnbc.com/2022/08/16/bed-bath-beyond-soars-70percent-as-meme-traders-bet-on-ryan-cohen.html
21,Tesla hedging: New ETF gears up to attract hesitant investors,1,https://www.cnbc.com/2022/08/14/tesla-hedging-new-etf-gears-up-to-attract-hesitant-investors.html
22,Huawei's second quarter revenue rises slightly from a year ago,1,https://www.cnbc.com/2022/08/12/huaweis-second-quarter-revenue-rises-slightly-from-a-year-ago.html
23,"Fed expected to stick with hawkish interest rate hikes, strategists say ",0,https://www.cnbc.com/2022/08/12/fed-expected-to-stick-with-hawkish-interest-rate-hikes-strategists-say-.html
24,Zoom investor tells startup founders: ‘Forget the past three years',1,https://www.cnbc.com/2022/08/11/zoom-investor-tells-startup-founders-forget-the-past-three-years.html
25,Here's where China's real estate troubles could spill over ,0,https://www.cnbc.com/2022/08/12/heres-where-chinas-real-estate-troubles-could-spill-over-.html
